,VALUE,SMILES,MolWt
0,-4.35,BrC[2]:C[3]:C(:CH:CH:CH:@2):CH:CH:CH:CH:@3,-1.0
1,-3.33,BrC[2]:C(:C(:CH:C(:CH:@2)C#N)Br)OH,-1.0
2,-6.98,BrC[2]:C(:CH:C(:C(:CH:@2)Br)Br)Br,-1.0
3,-6.09,BrC[2]:C(:CH:C(:C(:CH:@2)Cl)OP(=S)(OCH3)OCH3)Cl,-1.0
4,-3.92,BrC[2]:C(:CH:C(:CH:CH:@2)NHC(=O)N(OCH3)CH3)Cl,-1.0
5,-4.5,BrC[2]:C(:CH:CH:C(:CH:@2)Br)Br,-1.0
6,-5.04,BrC[2]:C(:CH:CH:CH:C:@2Br)Br,-1.0
7,-3.5,BrC[2]:C(:CH:CH:CH:CH:@2)Br,-1.0
8,-2.23,BrC[2]:C(:CH:CH:CH:CH:@2)CH3,-1.0
9,-3.19,BrC[2]:C(:CH:CH:CH:CH:@2)Cl,-1.0
10,-2.7,BrC[2]:C(:CH:CH:CH:CH:@2)F,-1.0
11,-4.4,BrC[2]:CH:C[5]:C(:CH:CH:@2):CH:CH:CH:CH:@5,-1.0
12,-5.6,BrC[2]:CH:C(:CH:C(:CH:@2)Br)Br,-1.0
13,-3.54,BrC[2]:CH:C(:CH:CH:CH:@2)Br,-1.0
14,-3.52,BrC[2]:CH:C(:CH:CH:CH:@2)CH3,-1.0
15,-3.21,BrC[2]:CH:C(:CH:CH:CH:@2)Cl,-1.0
16,-2.67,BrC[2]:CH:C(:CH:CH:CH:@2)F,-1.0
17,-4.07,BrC[2]:CH:CH:C(:CH:CH:@2)Br,-1.0
18,-4.45,BrC[2]:CH:CH:C(:CH:CH:@2)C[12]:CH:CH:C(:CH:CH:@12)CH(OH)CH2CH(C[31]:CH:CH:CH:CH:CH:@31)C[42]=C(C[44]:C(:CH:CH:CH:CH:@44)OC@42=O)OH,-1.0
19,-3.19,BrC[2]:CH:CH:C(:CH:CH:@2)CH3,-1.0
20,-3.63,BrC[2]:CH:CH:C(:CH:CH:@2)Cl,-1.0
21,-4.93,BrC[2]:CH:CH:C(:CH:CH:@2)C(OH)(C[15]:CH:CH:C(:CH:CH:@15)Br)C(=O)OCH(CH3)CH3,-1.0
22,-3.08,BrC[2]:CH:CH:C(:CH:CH:@2)NHC(=O)CH3,-1.0
23,-1.09,BrC[2]:CH:CH:C(:CH:CH:@2)OH,-1.0
24,-2.55,BrC[2]:CH:CH:CH:CH:CH:@2,-1.0
25,-2.3,BrC[2]HCH2CH2CH2CH2CH2@2,-1.0
26,-3.12,BrC[2]=C(CH=NN(C@2=O)C[10]:CH:CH:CH:CH:CH:@10)NH2,-1.0
27,-2.52,BrC[2]=C(NHC(N(C@2=O)CH(CH2CH3)CH3)=O)CH3,-1.0
28,-3.14,BrC(Br)(Br)Br,327.6733484
29,-2.65,BrC(=CH2)CH2C[9](C(NHC(NHC@9=O)=O)=O)CH(CH2CH3)CH3,-1.0
30,-2.68,BrC(CH2CH3)(CH2CH3)C(=O)NHC(=O)NH2,-1.0
31,-8.4,BrC(=CHC[5]HC(CH@5C(=O)OCH(C[15]:CH:C(:CH:CH:CH:@15)OC[26]:CH:CH:CH:CH:CH:@26)C#N)(CH3)CH3)Br,-1.0
32,-2.28,BrC(Cl)(Cl)CH(Br)OP(=O)(OCH3)OCH3,-1.0
33,-1.17,BrCH2Br,-1.0
34,-1.68,BrCH2CH2Br,-1.0
35,-2.08,BrCH2CH2CH2Br,-1.0
36,-5.06,BrCH2CH2CH2CH2CH2CH2CH2CH3,-1.0
37,-4.43,BrCH2CH2CH2CH2CH2CH2CH3,-1.0
38,-3.81,BrCH2CH2CH2CH2CH2CH3,-1.0
39,-3.07,BrCH2CH2CH2CH2CH3,-1.0
40,-2.37,BrCH2CH2CH2CH3,-1.0
41,-1.85,BrCH2CH2CH2Cl,-1.0
42,-1.73,BrCH2CH2CH3,-1.0
43,-2.89,BrCH2CH2CH(CH3)CH3,-1.0
44,-1.32,BrCH2CH2Cl,-1.0
45,-1.09,BrCH2CH3,-1.0
46,-1.5,BrCH2CH=CH2,-1.0
47,-2.43,BrCH2CH(CH3)CH3,-1.0
48,-0.89,BrCH2Cl,-1.0
49,-0.79,BrCH3,-1.0
50,-1.91,BrCH(Br)Br,-1.0
51,-1.9,BrCH(Br)Cl,-1.0
52,-2.38,BrCH(CH2Br)CH2Cl,-1.0
53,-2.15,BrCH(CH2Br)CH3,-1.0
54,-1.59,BrCH(CH3)CH3,-1.0
55,-1.71,BrCH(Cl)C(F)(F)F,-1.0
56,-1.54,BrCH(Cl)Cl,-1.0
57,-1.32,BrCH=CHBr,-1.0
58,-9.33,C[1]:C[2]:C[3]:C[4]:C[5]:C:@1:C[7]:CH:CH:C:@5:CH:CH:C:@4:CH:CH:C:@3:CH:CH:C:@2:CH:CH:C:@1:CH:CH:@7,-1.0
59,-9.03,C[1]:C[2]:C[3]:C[4]:C[5]:C:@1:C(:CH:CH:C:@1:CH:CH:C:@2:CH:CH:C:@3:CH:CH:CH:@4):CH:CH:CH:@5,-1.0
60,-7.8,C[1]:C[2]:C[3]:C[4]:C(:C:@1:CH:CH:CH:C:@1:CH:CH:C:@2:CH:CH:CH:@3):CH:CH:CH:CH:@4,-1.0
61,-8.19,C[1]:C[2]:C[3]:CH:CH:C:@1:C[9]:C(:CH:C:@1:CH:CH:C:@2:CH:CH:CH:@3):CH:CH:CH:CH:@9,-1.0
62,-6.19,C[1]:C[2]:C[3]:CH:CH:C:@1:CH:CH:CH:C:@1:CH:CH:C:@2:CH:CH:CH:@3,-1.0
63,-7.87,C[1]:C[2]:C(:C[4]:C(:CH:CH:@2):CH:CH:CH:CH:@4):CH:CH:C:@1:C[23]:C(:CH:CH:@1):CH:CH:CH:CH:@23,-1.0
64,-8.23,C[1]:C[2]:C(:CH:C[6]:C:@1:C(:CH:CH:CH:@1)C[15]:C@6:CH:CH:CH:CH:@15):CH:CH:CH:CH:@2,-1.0
65,-8.66,C[1]:C[2]:C(:CH:CH:C:@1:CH:C[11]:C[12]:C(:CH:CH:C:@11:CH:@1):CH:CH:CH:CH:@12):CH:CH:CH:CH:@2,-1.0
66,-5.26,C[1]:C[2]:C(:CH:CH:C:@1:CH:CH:CH:CH:@1):CH:CH:CH:CH:@2,-1.0
67,-8.0,C[1]:C[2]:CH:CH:CH:C:@1C[10]:C[11]:C(:CH:CH:C:@10C:@1:CH:CH:CH:@2):CH:CH:CH:CH:@11,-1.0
68,-8.8,C[1]:C[2]:CH:CH:CH:C:@1C[10]:C[11]:C(:CH:CH:CH:C:@11C:@1:CH:CH:CH:@2):CH:CH:CH:@10,-1.0
69,-8.49,C[1]:C[2]:CH:CH:CH:C:@1C[10]:C(:CH:C[14]:C(:CH:@10):CH:CH:CH:CH:@14)C:@1:CH:CH:CH:@2,-1.0
